"Domestic Violence Offenses and Clearances"
"Current date: 7/22/2018 12:44:30 PM (Central Daylight Time)"
"Incident Date: 2017"
"Measures: Number of Victims"
"Offense Type","Domestic Situation","Incident Clearance","Number of Victims",
"Murder","Domestic Violence Victim","All Clearances","82"
"Murder","Domestic Violence Victim","Cleared","74"
"Kidnapping/Abduction","Domestic Violence Victim","All Clearances","1,058"
"Kidnapping/Abduction","Domestic Violence Victim","Cleared","756"
"Forcible Rape","Domestic Violence Victim","All Clearances","641"
"Forcible Rape","Domestic Violence Victim","Cleared","294"
"Forcible Sodomy","Domestic Violence Victim","All Clearances","181"
"Forcible Sodomy","Domestic Violence Victim","Cleared","79"
"Sexual Assault W/Object","Domestic Violence Victim","All Clearances","69"
"Sexual Assault W/Object","Domestic Violence Victim","Cleared","33"
"Forcible Fondling","Domestic Violence Victim","All Clearances","693"
"Forcible Fondling","Domestic Violence Victim","Cleared","248"
"Incest","Domestic Violence Victim","All Clearances","33"
"Incest","Domestic Violence Victim","Cleared","16"
"Statutory Rape","Domestic Violence Victim","All Clearances","115"
"Statutory Rape","Domestic Violence Victim","Cleared","51"
"Aggravated Assault","Domestic Violence Victim","All Clearances","11,503"
"Aggravated Assault","Domestic Violence Victim","Cleared","8,082"
"Simple Assault","Domestic Violence Victim","All Clearances","52,155"
"Simple Assault","Domestic Violence Victim","Cleared","32,422"
"Intimidation","Domestic Violence Victim","All Clearances","10,462"
"Intimidation","Domestic Violence Victim","Cleared","3,813"
"Stalking","Domestic Violence Victim","All Clearances","939"
"Stalking","Domestic Violence Victim","Cleared","310"
